date,pred_logret,pred_close
2025-09-15,-0.003905,233.157656
2025-09-16,-0.005610,231.853392
2025-09-17,-0.001832,231.429070
2025-09-18,0.000232,231.482652
2025-09-19,-0.006497,229.983601
2025-09-22,-0.007219,228.329283
2025-09-23,-0.007659,226.587157
2025-09-24,-0.008343,224.704689
2025-09-25,-0.008275,222.852886
2025-09-26,-0.007364,221.217728
2025-09-29,-0.005613,219.979458
2025-09-30,-0.005448,218.784333
2025-10-01,-0.003303,218.062950
2025-10-02,-0.002806,217.451856
2025-10-03,-0.002809,216.841814
2025-10-06,0.001329,217.130202
2025-10-07,0.001722,217.504379
2025-10-08,0.000871,217.693809
2025-10-09,0.000351,217.770158
2025-10-10,-0.000881,217.578289
2025-10-13,0.001025,217.801373
2025-10-14,0.002183,218.277439
2025-10-15,-0.001179,218.020201
2025-10-16,0.003326,218.746574
2025-10-17,0.002525,219.299577
2025-10-20,0.004496,220.287796
2025-10-21,0.003082,220.967784
2025-10-22,0.002445,221.508741
2025-10-23,0.001340,221.805683
2025-10-24,0.000632,221.945906
2025-10-27,-0.000166,221.909027
2025-10-28,0.000808,222.088381
2025-10-29,0.002202,222.577863
2025-10-30,0.000768,222.748926
2025-10-31,-0.000109,222.724703
2025-11-03,-0.000029,222.718207
2025-11-04,0.000572,222.845721
2025-11-05,0.001171,223.106850
2025-11-06,0.003553,223.901006
2025-11-07,0.001861,224.318165
2025-11-10,0.003769,225.165313
2025-11-11,0.003699,225.999788
2025-11-12,0.003880,226.878293
2025-11-13,0.003122,227.587827
2025-11-14,0.002768,228.218612
2025-11-17,0.003381,228.991539
2025-11-18,0.002184,229.492296
2025-11-19,0.001426,229.819806
2025-11-20,0.001084,230.068962
2025-11-21,0.001407,230.392950
